"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.322837917E-1,-1.014573411E-1,-2.164265013E-1,2.473185110E-1
7.422397917E-1,1.467772458E-1,-1.783520642E-1,5.940654159E-2
7.521957917E-1,1.999773335E-1,-1.809684008E-2,9.865188360E-2
7.621517917E-1,1.539824408E-1,3.393607020E-2,4.184635895E-1
7.721077917E-1,1.852063531E-1,-9.738157600E-2,3.505873561E-1
7.820637917E-1,2.315465239E-1,-9.895886242E-2,2.019002634E-1
7.920197917E-1,2.613784700E-1,3.843111724E-2,1.583852845E-1
8.019757917E-1,1.958379433E-1,1.164785823E-1,1.276131427E-1
8.119317917E-1,1.432833152E-1,1.102989525E-1,8.782459438E-2
8.218877917E-1,1.132407963E-1,9.826596737E-2,3.428807259E-2
8.318427917E-1,1.037558816E-1,4.918531626E-2,5.423058629E-2
8.417987917E-1,1.008060709E-1,2.348037153E-2,1.305285645E-1
8.517541667E-1,5.500263803E-2,2.344528824E-2,2.696408415E-1
8.617101667E-1,7.045028742E-2,-1.564100951E-2,3.345244700E-1
8.716661667E-1,1.156224038E-1,-2.032404453E-2,3.734721887E-1
8.816221667E-1,1.556135216E-1,1.101440012E-2,3.812916702E-1
8.915781667E-1,1.505926272E-1,2.859726995E-2,3.158110410E-1
9.015341667E-1,1.201205571E-1,-1.765566766E-3,2.362585026E-1
9.114901667E-1,7.249838434E-2,-7.893448770E-3,1.893720192E-1
9.214461667E-1,3.436869107E-2,-1.266857743E-2,7.444733441E-2
9.314021667E-1,1.788542669E-2,-1.558195263E-2,7.032446265E-3
9.413571667E-1,2.218937941E-2,-2.783742428E-2,1.090505719E-3
9.513131667E-1,2.698098991E-2,-1.984983534E-2,-2.211592376E-2
9.612691667E-1,1.382709358E-2,-1.153275579E-2,-5.985502303E-2
9.712251667E-1,-1.176847167E-2,-4.827870548E-2,-3.444360852E-2
9.811811667E-1,1.507390268E-2,-7.819364548E-2,-1.140967190E-2
9.911371667E-1,1.089431293E-2,-1.204669681E-1,8.223699510E-2
1.001093167E0,1.512177676E-2,-9.149109095E-2,9.214159369E-2
1.011049167E0,2.115508005E-2,-2.104588330E-2,3.532186031E-2
1.021005167E0,3.249359865E-2,-3.569725156E-3,4.522938251E-2
1.030961167E0,3.558867607E-2,-1.503874630E-2,1.422042847E-2
1.040917167E0,1.569286700E-2,-1.125033528E-2,-6.866853118E-2
1.050872167E0,-1.729862206E-2,-7.178041935E-3,-1.082419020E-1
1.060828167E0,-3.268586241E-2,-3.231668383E-2,-1.221150059E-1
1.070784167E0,4.765480757E-3,-2.776491880E-2,-1.145878851E-1
1.080740167E0,2.178829696E-2,-1.623537898E-2,-8.125641704E-2
1.090696167E0,1.537591137E-2,-3.577268064E-2,-9.010325432E-2
1.100652167E0,-1.069872357E-2,-5.014864504E-2,-1.299701554E-1
1.110608167E0,4.881547987E-3,-4.821233958E-2,-1.120759213E-1
1.120564167E0,4.587966599E-2,-1.067876995E-2,-5.624729097E-2
1.130520167E0,6.918315925E-2,-3.983123302E-2,1.967821956E-2
1.140476167E0,5.994134255E-2,-6.417845428E-2,1.038506430E-1
1.150431167E0,3.173759021E-2,-6.237634242E-2,1.659562594E-1
1.160387167E0,3.849536352E-2,-4.721889764E-2,1.744493401E-1
1.170343167E0,3.052728966E-2,-3.616561353E-2,1.569439459E-1
1.180299167E0,3.472657721E-2,-3.905150682E-2,1.323230749E-1
1.190255167E0,6.625114605E-2,-2.240711510E-2,9.886940002E-2
1.200211167E0,7.906352844E-2,-5.135024786E-3,8.471036732E-2
1.210167167E0,8.634930532E-2,1.641664267E-2,1.297239876E-1
1.220123167E0,7.790497575E-2,3.536688387E-2,1.694832999E-1
1.230079167E0,5.938589361E-2,1.619327903E-2,8.982141852E-2
1.240035167E0,8.037633799E-2,-3.456873894E-3,-1.085535586E-2
1.249991167E0,9.248928376E-2,-1.878651917E-2,-4.969840944E-2
1.259946167E0,6.101478171E-2,-4.256656051E-2,-2.893962443E-2
1.269902167E0,2.502659462E-2,-3.917809904E-2,3.655913115E-2
1.279858167E0,1.977930330E-2,-8.400080770E-2,1.400823301E-1
1.289814167E0,5.599162146E-2,-7.323169827E-2,1.564773381E-1
1.299770167E0,6.553091526E-2,-5.302313626E-2,1.350812066E-1
1.309726167E0,6.927879777E-2,-1.411225498E-2,1.243293464E-1
1.319682167E0,3.838455878E-2,-1.981182843E-2,1.043599355E-1
1.329638167E0,1.294862252E-2,-2.889430851E-2,8.600611031E-2
1.339594167E0,-1.437044609E-2,-7.742590606E-2,6.998883247E-2
1.349550167E0,1.480321314E-2,-7.565800041E-2,4.257650077E-2
1.359505167E0,-1.768307649E-3,-4.007827789E-2,-3.959149718E-3
1.369461167E0,-4.004429094E-3,-2.440423161E-2,-6.010996163E-2
1.379417167E0,4.577565864E-3,-4.363046139E-2,-8.690716624E-2
1.389373167E0,2.909183476E-2,-5.486062378E-2,-8.646628618E-2
1.399329167E0,7.290085550E-2,-5.325702488E-2,-6.836389124E-2
