"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.740641501191986E9,"2025-02-27 09:31:41.192 UTC+02:00"
"PAUSE",2.217207769999950E2,1.740641722911509E9,"2025-02-27 09:35:22.912 UTC+02:00"
